host_id,host_name,host_response_rate,host_verifications,is_superhost,response_time
1,Abbi Ghidini,77,"['phone', 'government ID', 'work email', 'email']",0,more than one hour
2,Fanchette McClancy,70,"['email', 'government ID', 'phone', 'work email']",0,within fifteen minutes
3,Concordia Venny,87,"['email', 'phone']",0,within fifteen minutes
4,Rozanna Barmadier,100,"['work email', 'phone']",1,within fifteen minutes
5,Neel Serman,86,"['phone', 'work email', 'government ID', 'email']",0,more than one hour
6,Gwynne Spence,86,"['email', 'work email', 'government ID', 'phone']",0,within fifteen minutes
7,Giusto Mounfield,51,['email'],0,within an hour
8,Ysabel Metzke,84,['government ID'],0,within an hour
9,Symon Probey,84,['phone'],0,within an hour
10,Doralyn Zavattieri,51,"['email', 'phone', 'work email']",0,more than one hour
11,Tybi Huckell,51,"['phone', 'government ID', 'work email', 'email']",0,more than one hour
12,Tanya Kmiec,86,"['work email', 'government ID', 'email']",0,within half an hour
13,Van McKelvey,83,['government ID'],1,within half an hour
14,Georgeanna Wincer,62,"['email', 'phone', 'government ID']",0,more than one hour
15,Dani Bartoszinski,58,"['email', 'work email']",0,within an hour
16,Sharleen Wadlow,81,"['government ID', 'phone']",1,within half an hour
17,Lammond Fidgin,99,"['phone', 'government ID']",0,within fifteen minutes
18,Quent Linstead,75,['email'],0,within an hour
19,Nollie Novotna,59,"['phone', 'email']",0,within half an hour
20,Mikel Fardell,91,"['work email', 'government ID']",0,more than one hour
21,Reid Haack,54,"['government ID', 'email', 'phone']",0,within fifteen minutes
22,Sabine Thickpenny,89,['government ID'],0,within an hour
23,Dilan Swinn,55,['government ID'],0,within an hour
24,Orelle Brotherheed,54,['email'],0,within fifteen minutes
25,Jacki Agott,56,"['phone', 'government ID', 'work email', 'email']",0,more than one hour
26,Bradan Barnsdall,93,['work email'],1,within half an hour
27,Ashton Pidgin,91,"['email', 'government ID']",0,within fifteen minutes
28,Idalina Markwelley,91,"['email', 'work email']",1,within fifteen minutes
29,Robinet Toppes,74,['work email'],0,within an hour
30,Colene Lycett,67,"['work email', 'government ID', 'phone', 'email']",0,within fifteen minutes
31,Bourke Fergusson,68,"['phone', 'email']",0,within fifteen minutes
32,Selie O'Hogertie,82,"['email', 'work email', 'government ID']",0,more than one hour
33,Silvana Cummins,91,"['work email', 'government ID', 'phone']",1,within half an hour
34,Sutton Trahar,58,"['work email', 'email']",0,within half an hour
35,Finn McCafferky,52,"['work email', 'phone']",0,within an hour
36,Ardella Fairlaw,78,"['work email', 'phone', 'email', 'government ID']",0,more than one hour
37,Norbie Spraging,95,"['government ID', 'work email']",0,within half an hour
38,Cary Tween,61,"['email', 'government ID', 'phone']",0,within half an hour
39,Adara Orehead,68,"['phone', 'government ID', 'work email', 'email']",0,within an hour
40,Daloris Millions,54,"['email', 'work email', 'phone', 'government ID']",0,within fifteen minutes
41,Whit Butlin,95,"['government ID', 'work email']",0,within fifteen minutes
42,Lindsey Rennels,80,"['government ID', 'work email', 'phone', 'email']",1,within half an hour
43,Tatum Kirke,92,"['work email', 'government ID']",1,within fifteen minutes
44,Mychal L' Anglois,78,"['phone', 'email', 'government ID', 'work email']",0,within half an hour
45,Kalina Bluschke,53,"['government ID', 'email', 'phone', 'work email']",0,more than one hour
46,Florenza Hasley,87,"['government ID', 'email', 'work email', 'phone']",1,within fifteen minutes
47,Pen Mosedill,67,"['email', 'phone', 'government ID', 'work email']",0,more than one hour
48,Geoffrey Lipscombe,82,"['email', 'work email', 'government ID', 'phone']",0,within half an hour
49,Cthrine Rois,52,['email'],0,within half an hour
